"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","Ethnicity","Nationality","Years_Singapore","Education","Student","Discipline","English","AI_expertise","GAAIS_Positive_7","GAAIS_Negative_15","BAIT_6_EnvironmentReal","GAAIS_Positive_17","BAIT_4_VideosIssues","GAAIS_Negative_10","BAIT_2_ImagesIssues","BAIT_1_ImagesRealistic","BAIT_5_ImitatingReality","GAAIS_Negative_9","BAIT_7_TextRealistic","GAAIS_Positive_12","BAIT_8_TextIssues","BAIT_3_VideosRealistic","Duration_BAIT","PID5_NegativeAffect_10","PID5_NegativeAffect_15","PID5_Disinhibition_6","PID5_Psychoticism_23","PID5_Antagonism_17","PID5_Antagonism_25","PID5_Disinhibition_2","PID5_Antagonism_20","PID5_Psychoticism_21","PID5_Psychoticism_12","PID5_Detachment_14","PID5_Psychoticism_7","PID5_Disinhibition_3","PID5_NegativeAffect_11","PID5_Detachment_13","PID5_Detachment_4","PID5_Disinhibition_1","PID5_NegativeAffect_8","PID5_Disinhibition_5","PID5_Antagonism_22","PID5_Antagonism_19","PID5_Detachment_18","PID5_NegativeAffect_9","PID5_Psychoticism_24","PID5_Detachment_16","Duration_PID5","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","Duration_IPIP6"
"S104",2024-02-05 15:57:29,11.3712,"chrome 121.0.0","true","Android OS",980,1825,"Male","33","Chinese","Singaporean ","33","Bachelor or equivalent","No","Business ","Native","Relatively experienced (I used it a few times)",0.64,0.47,0.58,0.48,0.65,0.39,0.37,0.65,0.61,0.62,0.41,0.5,0.69,0.65,0.245708333333333,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,0.4082,0.63,0.59,0.56,0.66,0.63,0.4,0.5,0.6,0.62,0.61,0.55,0.66,0.63,0.66,0.7,0.69,0.66,0.66,0.63,0.6,0.65,0.62,0.72,0.63,0.571766666666667
"S274",2024-02-05 18:46:28,71.77145,"chrome 121.0.0","true","Android OS",980,1824,"Female","22","Chinese","Singaporean","22","Bachelor or equivalent","Yes","Computer science","Native","Experienced (I use it often)",0.66,0.58,0.75,0.65,0.67,0.65,0.54,0.68,0.72,0.57,0.65,0.66,0.44,0.61,0.695775,2,1,2,1,0,1,1,1,2,0,2,1,1,1,1,0,1,1,0,1,1,1,1,1,0,5.4758,0.42,0.59,0.57,0.56,0.76,0.28,0.57,0.4,0.58,0.53,0.55,0.43,0.35,0.56,0.53,0.44,0.45,0.34,0.56,0.42,0.37,0.54,0.58,0.38,2.04354333333323
"S425",2024-02-06 13:35:05,22.7036833333333,"edge-chromium 121.0.0","false","Windows 10",1488,742,"Female","34","Chinese","Singaporean","34","Bachelor or equivalent","No","Accounting","Native","No experience (but I heard about it)",0.4,0.81,0.81,0.19,0.85,0.8,0.38,0.8,0.43,0.79,0.65,0.31,0.4,0.39,0.771498333330949,0,2,1,0,0,0,2,0,2,0,0,1,1,0,0,2,1,2,0,0,2,1,2,1,0,1.2198,0.28,0.79,0.78,0.53,0.77,0.21,0.53,0.3,0.3,0.77,0.31,0.32,0,0.58,0.32,0.66,0.28,0.47,0.48,0.28,0.29,0.42,0.17,0.29,1.40212000000079
"S148",2024-02-05 16:15:37,65.22475,"chrome 121.0.0","false","Windows 10",1536,703,"Female","23","Chinese","Singaporean","18","Bachelor or equivalent","No","Data Science","Native","Relatively experienced (I used it a few times)",0.59,0.38,0.69,0.6,0.56,0.41,0.59,0.55,0.64,0.41,0.68,0.62,0.39,0.64,1.09044333333336,1,1,2,2,1,1,1,2,3,0,2,2,2,2,2,2,1,0,2,1,1,2,1,1,2,10.33575,0.14,0.31,0.19,0.38,0.57,0.39,0.94,0.78,0.36,0.56,0.41,0.4,0.41,0.6,0.76,0.19,0.71,0.23,0.86,0.73,0.4,0.58,0.04,0.58,1.20657166666668
"S495",2024-09-12 13:19:39,141.928033333333,"edge-chromium 128.0.0","false","Windows 10",1920,1080,"Female","22","Chinese","singaporean","22","High school or equivalent (A-levels, Diploma, etc.)","Yes","environmental engineering","Native","Experienced (I use it often)",0.58,0.75,0.66,0.3,0.57,0.61,0.36,0.68,0.31,0.36,0.36,0.5,0.67,0.41,4.9250799999997,0,2,2,3,0,0,1,0,2,0,0,2,2,1,2,0,1,1,0,0,1,2,2,2,2,1.92485,0.6,0.99,0.28,0.61,0.88,0.17,0.34,0.18,0.06,0.49,0.8,0.26,0.09,1,0.35,0.8,0.38,0.14,0.86,0.04,0.03,0.98,0.78,0.13,1.80785833333333
"S426",2024-02-06 13:39:50,11.3326333333333,"ios 17.2.0","true","iOS",980,1663,"Female","21","Chinese","Singaporean","21","Bachelor or equivalent","Yes","Healthcare","Fluent (academic)","Experienced (I use it often)",0.9,0.32,0.32,0.29,0.72,0.22,0.77,0.88,0.25,0.32,0.8,0.7,0.67,0.75,0.389466666666667,2,1,2,1,0,2,2,1,2,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2,0,0.706783333333333,0.65,0.69,0.21,0.98,0.82,0.72,0.28,0.71,0.78,0.32,0.72,0.89,0.19,0.72,0.2,0.82,0.21,0.76,0.68,0.27,0.28,0.74,0.73,0.68,0.782233333333333
"S277",2024-02-05 18:49:37,46.7053166666667,"ios 17.2.0","true","iOS",980,1667,"Female","22","Chinese","Singaporean","22","High school or equivalent (A-levels, Diploma, etc.)","Yes","Chemistry ","Native","Experienced (I use it often)",0.67,0.67,0.36,0.63,0.38,0.61,0.3,0.73,0.61,0.21,0.41,0.72,0.66,0.67,1.97451666666667,1,1,1,2,1,0,0,1,1,0,2,2,1,1,0,2,0,2,1,0,2,2,1,1,3,3.49201666666667,0.23,0.69,0.74,0.33,0.67,0.59,0.69,0.7,0.71,0.83,0.25,0.39,0.37,0.76,0.71,0.6,0.31,0.17,0.79,0.75,0.73,0.14,0.13,0.22,1.30976666666667
"S354",2024-02-05 22:31:54,39.5431833333333,"safari 16.6.0","false","Mac OS",1440,820,"Female","25","Chinese","Singaporean","25","Bachelor or equivalent","No","Arts and Humanities","Fluent (academic)","No experience (but I heard about it)",0.1,0.76,0.72,0.61,0.64,0.71,0.64,0.65,0.44,0.76,0.57,0.46,0.47,0.3,1.00761666666667,2,1,1,2,0,0,1,1,2,0,1,1,1,1,0,0,1,2,0,0,1,1,1,1,1,1.3808,0.19,0.91,0.88,0.25,0.69,0.85,0.36,0.15,0.56,0.76,0.08,0.31,0.44,0.84,0.78,0.13,0.33,0,0.68,0.11,0.42,0.16,0.2,0.06,1.17325
"S202",2024-02-05 17:09:53,37.73025,"chrome 121.0.0","false","Windows 10",1542,785,"Female","26","Chinese","Singaporean","26","Bachelor or equivalent","No","Communications","Native","Relatively experienced (I used it a few times)",0.67,0.75,0.73,0.64,0.88,0.38,0.25,0.89,0.85,0.35,0.89,0.64,0.23,0.37,0.961310000002384,0,2,2,2,0,1,2,1,1,1,1,2,1,2,1,0,1,2,0,0,1,2,1,1,2,2.32625,0.29,0.73,0.56,0.35,0.4,0.57,0.58,0.36,0.34,0.64,0.33,0.58,0.66,0.6,0.4,0.34,0.66,0.39,0.61,0.31,0.35,0.33,0.21,0.44,1.20099833333095
"S252",2024-02-05 18:22:03,25.4257,"samsung 23.0.0","true","Android OS",980,1878,"Male","23","Chinese","Singaporean","23","High school or equivalent (A-levels, Diploma, etc.)","Yes","Chemistry","Native","Relatively experienced (I used it a few times)",0.65,0.64,0.63,0.43,0.62,0.36,0.91,0.64,0.67,0.63,0.63,0.42,0.6,0.63,0.213441666666667,2,1,2,2,2,2,3,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,0.4795,0.37,0.66,0.45,0.18,0.27,0.74,0.34,0.34,0.35,0.35,0.66,0.57,0.64,0.5,0.52,0.77,0.53,0.51,0.67,0.24,0.28,0.32,0.4,0.71,0.49565
